dept_id,store_id,date,month,special_date,year,sales_sum,sell_price_avg,week_number,fuel_value,temperature_avg,CPI,prediction,error,error_decile,abs_error_decile,relative_error
FOODS_2,WI_3,2016-05-05T00:00:00.000Z,5,Cinco De Mayo,2016,673,4.218994967751766,18,2.342,10.28,247.575,505.8261,-167.1739008896618,6,2,-0.24840104144080508
FOODS_2,WI_2,2016-05-20T00:00:00.000Z,5,,2016,815,4.2166331591618125,20,2.345,13.33,247.575,716.8045,-98.1954904276497,6,1,-0.12048526432840455
FOODS_2,TX_1,2016-05-02T00:00:00.000Z,5,,2016,323,4.142386928125841,18,2.342,17.5,247.575,367.87653,44.87652372315932,8,0,0.13893660595405363
FOODS_2,CA_2,2016-04-27T00:00:00.000Z,4,,2016,359,4.203115575127865,17,2.265,13.34,247.906,366.27243,7.272431760922927,8,0,0.02025747008613629
FOODS_2,TX_3,2016-05-20T00:00:00.000Z,5,,2016,458,4.141909541047398,20,2.345,22.5,247.575,435.74854,-22.251453152413205,8,0,-0.04858395884806377
FOODS_2,WI_1,2016-04-29T00:00:00.000Z,4,,2016,580,4.218165822214817,17,2.265,7.5,247.906,590.5081,10.508119668897848,8,0,0.01811744770499629
FOODS_2,WI_3,2016-04-28T00:00:00.000Z,4,,2016,412,4.218994967751766,17,2.265,5.28,247.906,413.09857,1.098583198743711,8,0,0.0026664640746206576
FOODS_2,TX_1,2016-04-28T00:00:00.000Z,4,,2016,252,4.134723611063694,17,2.265,23.89,247.906,297.88257,45.88257076782452,8,0,0.18207369352311317
FOODS_2,TX_3,2016-04-27T00:00:00.000Z,4,,2016,344,4.137437179609758,17,2.265,24.44,247.906,386.21838,42.21839720929711,8,0,0.12272789886423578
FOODS_2,WI_1,2016-05-01T00:00:00.000Z,5,OrthodoxEaster,2016,1047,4.218165822214817,17,2.265,10.0,247.575,776.19543,-270.8045358346392,4,4,-0.2586480762508493
FOODS_2,CA_1,2016-05-16T00:00:00.000Z,5,,2016,555,4.227135674288524,20,2.345,18.61,247.575,517.407,-37.5930350741603,7,0,-0.06773519833182036
FOODS_2,TX_2,2016-05-11T00:00:00.000Z,5,,2016,424,4.142964817621001,19,2.325,24.44,247.575,418.38605,-5.613964525756785,8,0,-0.013240482372067888
FOODS_2,CA_1,2016-05-11T00:00:00.000Z,5,,2016,446,4.227386930330315,19,2.325,17.5,247.575,457.2532,11.253199967795354,8,0,0.02523139006232142
FOODS_2,CA_1,2016-05-07T00:00:00.000Z,5,,2016,683,4.227386930330315,18,2.342,15.0,247.575,664.1473,-18.85269804915481,8,0,-0.02760277898851363
FOODS_2,CA_3,2016-05-21T00:00:00.000Z,5,,2016,639,4.232160797520499,20,2.345,13.88,247.575,712.17285,73.17287296018617,9,1,0.11451153827885159
FOODS_2,CA_3,2016-05-17T00:00:00.000Z,5,,2016,637,4.229648234706429,20,2.345,22.5,247.575,614.8325,-22.167456770040985,8,0,-0.03479977514920092
